Product Name,Category,Sub Category,Brand,Model,IGST,CGST,SGST,HSN No,Description,Unit,"SS Rate
/packet","D Rate
/packet","R Rate
/packet",MRP,Head Office,Branch Name,Min Qty
Turmeric Powder,Masala & whole spices,Pure Spices,Cool in Cool Masala,CIC,0,2.5,2.5,9103030,"Made from dry grinding of high quality mature premium selected whole Salem turmeric fingers. It is 100 % natural; it’s free from adulterants, preservatives, artificial colour and flavour. Cool in Cool’s turmeric powder can be used to prepare all variety of dishes, cosmetics and medicinal use.",20 gm,2.75,3,3.25,5,Kavalkinaru,Cool in Cool Store,
Turmeric Powder,Masala & whole spices,Pure Spices,Cool in Cool Masala,CIC,0,2.5,2.5,9103030,"Made from dry grinding of high quality mature premium selected whole Salem turmeric fingers. It is 100 % natural; it’s free from adulterants, preservatives, artificial colour and flavour. Cool in Cool’s turmeric powder can be used to prepare all variety of dishes, cosmetics and medicinal use.",50 gm,6,6.21,6.75,14,Kavalkinaru,Cool in Cool Store,
Turmeric Powder,Masala & whole spices,Pure Spices,Cool in Cool Masala,CIC,0,2.5,2.5,9103030,"Made from dry grinding of high quality mature premium selected whole Salem turmeric fingers. It is 100 % natural; it’s free from adulterants, preservatives, artificial colour and flavour. Cool in Cool’s turmeric powder can be used to prepare all variety of dishes, cosmetics and medicinal use.",100 gm,11.8,12.2,13.3,38,Kavalkinaru,Cool in Cool Store,
Turmeric Powder,Masala & whole spices,Pure Spices,Cool in Cool Masala,CIC,0,2.5,2.5,9103030,"Made from dry grinding of high quality mature premium selected whole Salem turmeric fingers. It is 100 % natural; it’s free from adulterants, preservatives, artificial colour and flavour. Cool in Cool’s turmeric powder can be used to prepare all variety of dishes, cosmetics and medicinal use.",500 gm,59,61,66.5,110,Kavalkinaru,Cool in Cool Store,
